,vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC_purity,Quantity,Unit,Unit_mass_in_grams,Total_mass_in_grams
818,budlighting,-1.0,580.0,2018-12-25 3:54:00,8 Ounce - 580 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,8.0,oz,0.0,226.8
819,budlighting,-1.0,90.0,2018-12-21 9:20:00,1 Ounce - 90 USD - **** Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
820,budlighting,-1.0,90.0,2018-12-20 2:23:00,1 Ounce - 90 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
821,budlighting,-1.0,1780.0,2018-12-18 4:11:00,27 Ounce - 1780 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,27.0,oz,0.0,765.45
822,budlighting,-1.0,300.0,2019-11-26 9:39:00,4 Ounce - 300 USD - **** Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,4.0,oz,0.0,113.4
823,budlighting,-1.0,1060.0,2019-11-09 4:21:00,16 Ounce - 1060 USD - **** Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,16.0,oz,0.0,453.6
824,Badman1312,-1.0,-1.0,2019-01-01 9:41:00,12 Gram - 118 EUR - HQ Amnesia Haze 22%~ THC +2G MDMA FOR FREE,0.0,0,0.0,22.0,0.0,0,12.0,12.0
825,Badman1312,-1.0,-1.0,2018-12-27 10:01:00,25 Gram - 222.5 EUR - HQ Amnesia Haze 22%~ THC +2G MDMA FOR FREE,0.0,0,0.0,22.0,0.0,0,25.0,25.0
826,Badman1312,-1.0,-1.0,2018-12-18 9:42:00,10 Gram - 100 EUR - HQ Amnesia Haze 22%~ THC +2G MDMA FOR FREE,0.0,0,0.0,22.0,0.0,0,10.0,10.0
827,Badman1312,-1.0,-1.0,2018-12-18 2:33:00,25 Gram - 235 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,25.0,25.0
828,Badman1312,-1.0,-1.0,2018-12-17 12:49:00,10 Gram - 105 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,10.0,10.0
829,Badman1312,-1.0,-1.0,2018-12-15 8:29:00,10 Gram - 110 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,10.0,10.0
830,Badman1312,-1.0,-1.0,2018-12-13 4:48:00,29 Gram - 261.5 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,29.0,29.0
831,Badman1312,-1.0,-1.0,2018-12-11 12:41:00,5 Gram - 60 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,5.0,5.0
832,Badman1312,-1.0,-1.0,2018-12-09 12:47:00,10 Gram - 100 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,10.0,10.0
833,Badman1312,-1.0,-1.0,2018-12-02 5:58:00,10 Gram - 100 EUR - HQ Amnesia Haze 22%~ THC +5XTC FOR FREE,0.0,0,0.0,22.0,0.0,0,10.0,10.0
834,Badman1312,-1.0,-1.0,2019-11-30 9:40:00,26 Gram - 198 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,26.0,26.0
835,Badman1312,-1.0,-1.0,2019-11-29 5:06:00,35 Gram - 307.5 EUR - HQ Amnesia Haze 22%~ THC +2G MDMA FOR FREE,0.0,0,0.0,22.0,0.0,0,35.0,35.0
836,Badman1312,-1.0,-1.0,2019-11-29 4:32:00,26 Gram - 192 EUR - HQ Amnesia Haze,0.0,0,0.0,0.0,0.0,0,26.0,26.0
837,Badman1312,-1.0,-1.0,2019-11-26 8:18:00,15 Gram - 145 EUR - HQ Amnesia Haze 22%~ THC +5XTC FOR FREE,0.0,0,0.0,22.0,0.0,0,15.0,15.0
838,Badman1312,-1.0,-1.0,2019-11-24 12:07:00,9 Gram - 100 EUR - HQ Amnesia Haze 22%~ THC +5XTC FOR FREE,0.0,0,0.0,22.0,0.0,0,9.0,9.0
839,Badman1312,-1.0,-1.0,2019-11-23 11:32:00,7 Gram - 80 EUR - HQ Amnesia Haze 22%~ THC +5XTC FOR FREE,0.0,0,0.0,22.0,0.0,0,7.0,7.0
840,Badman1312,-1.0,-1.0,2019-11-17 10:02:00,15 Gram - 115 EUR - HQ Amnesia Haze 22%~ THC,0.0,0,0.0,22.0,0.0,0,15.0,15.0
841,TheExoticClub,-1.0,460.0,2018-12-15 11:35:00,20 Gram - 460 USD - 1g GENUINE Exotic Carts Distillate Oil 80%-85% THC Lowest Price,0.0,0,0.0,0.0,0.0,0,0.0,0.0
842,Badman1312,-1.0,-1.0,2018-12-22 5:57:00,5 Gram - 75 EUR - HQ Amnesia Haze 22%~ THC (Escrow),0.0,0,0.0,22.0,0.0,0,5.0,5.0
843,WeedMart,-1.0,600.0,2018-12-28 8:27:00,8 Ounce - 600 USD - +WINTER FIRE SALE+ GORILLA GLUE / CHERRY PIE,0.0,0,0.0,0.0,8.0,oz,0.0,226.8
844,Ricardo,-1.0,-1.0,2018-12-31 11:50:00,10 Gram - 115.3 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,10.0,10.0
845,Ricardo,-1.0,-1.0,2018-12-28 7:48:00,5 Gram - 62.8 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,5.0,5.0
846,Ricardo,-1.0,-1.0,2018-12-28 6:16:00,10 Gram - 118 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,10.0,10.0
847,Ricardo,-1.0,-1.0,2018-12-26 1:15:00,8 Gram - 97.3 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,8.0,8.0
848,Ricardo,-1.0,-1.0,2018-12-21 9:10:00,2 Gram - 30.3 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,2.0,2.0
849,Ricardo,-1.0,-1.0,2018-12-10 10:20:00,3 Gram - 44 EUR - Bio White Widow,0.0,0,0.0,0.0,0.0,0,3.0,3.0
850,herbs190316,-1.0,34.5,2018-12-31 3:59:00,3 Gram - 34.5 USD - Hawaiian Haze,0.0,0,0.0,0.0,0.0,0,3.0,3.0
851,herbs190316,-1.0,143.08,2018-12-30 11:26:00,14 Gram - 143.08 USD - Hawaiian Haze,0.0,0,0.0,0.0,0.0,0,14.0,14.0
852,herbs190316,-1.0,23.0,2018-12-28 4:09:00,2 Gram - 23 USD - Hawaiian Haze,0.0,0,0.0,0.0,0.0,0,2.0,2.0
853,herbs190316,-1.0,14.1,2018-12-28 1:03:00,1 Gram - 14.1 USD - Hawaiian Haze,0.0,0,0.0,0.0,0.0,0,1.0,1.0
854,GreenFarm,-1.0,-1.0,2018-12-31 10:08:00,100 Gram - 707 EUR - Nebula X Haze,0.0,0,0.0,0.0,0.0,0,100.0,100.0
855,GreenFarm,-1.0,-1.0,2018-12-31 10:05:00,100 Gram - 707 EUR - Nebula X Haze      X-MAS Special     (10% overweight),0.0,0,0.0,0.0,0.0,0,100.0,100.0
856,GreenFarm,-1.0,-1.0,2018-12-30 6:17:00,6 Gram - 60 EUR - Nebula X Haze,0.0,0,0.0,0.0,0.0,0,6.0,6.0
857,GreenFarm,-1.0,-1.0,2018-12-29 10:55:00,4 Gram - 43 EUR - Nebula X Haze,0.0,0,0.0,0.0,0.0,0,4.0,4.0
858,GreenFarm,-1.0,-1.0,2018-12-27 3:00:00,15 Gram - 138 EUR - Nebula X Haze      X-MAS Special     (10% overweight),0.0,0,0.0,0.0,0.0,0,15.0,15.0
