vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
bc0b5cbb30b50c8e3130d0185689cb97,-1,-1,2018-02-07 12:29:34,2g Sour Diesel Bio A+++ (Medical Grade),,,,,,,2,
550d05ab240ec337038af814ff0de287,-1,-1,2018-12-21 19:03:41,1 gram Amnesia Kush Hash,,,,,,,1,
550d05ab240ec337038af814ff0de287,-1,-1,2019-01-15 11:40:44,5 gram Amnesia Kush Hash,,,,,,,5,
550d05ab240ec337038af814ff0de287,-1,-1,2018-10-26 9:41:25,10 gram Amnesia Kush Hash,,,,,,,10,
d1f915e833a1f6e23993d945327d31cc,-1,-1,2018-09-12 3:08:43,1g | Dynamite | Medical Grade Cannabis | Organic | Limited Supply!!,,,,,,,1,
7201861d07f5de1ba6689f769bb0b646,-1,-1,2019-01-04 21:52:14,5g - Premium Weed - Super Skunk,,,,,,,5,
dfe1737d606e1e2c870331ee3d5672dd,-1,-1,2018-05-22 9:27:21,Guerra\'s Weed - Indoor Weed - 5.0 / 100 Gr,,,,,,,,
53c01b34173e788ff92ddad58916ca6f,-1,-1,2018-08-09 17:12:35,10g Exodus Cheese Original cut 89\'   indoor weed    - BIOLOGIC CULTIVATION -,,,,,,,10,
874e9e1f715debb5844051dc1ae58979,-1,-1,2018-03-27 18:23:06,"2,5g Moby Dick Indoor",,,,,,,2.5,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-10 18:15:57,7Jungle boysTop shelf\'s Grade AAA+,,,,,,,,
70c0918350524305fb64231384a59242,-1,-1,2019-01-13 7:45:04,5g of Tutti Frutti Pollen AAA+++,,,,,,,5,
53c01b34173e788ff92ddad58916ca6f,-1,-1,2018-07-11 16:47:35,5g  Critical Widow  dry sift top hash -,,,,,,,5,
32dd6832e87276bd9132b0dbf783491c,-1,-1,2018-08-01 1:41:43,Blueberry AAA+++ 2g FREE UK NDD,,,,,,,2,
7fd120ceb7116d0918ea84ea2b45d30b,-1,-1,2018-03-28 10:31:15,5g Amnesia Haze from NL / Hardcore Weed AAAAA++++++,,,,,,,5,
bc0b5cbb30b50c8e3130d0185689cb97,-1,-1,2018-01-18 20:12:34,2g OG Kush Hash / Highest Quality!!,,,,,,,2,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-03-09 13:03:27,5gr Purple Kush / Haze quality=B+ (Outdoor & Organic),,,,,,,5,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-03-06 13:54:24,10gr Purple Kush / Haze quality=B+ (Outdoor & Organic),,,,,,,10,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-03-08 11:33:31,25gr Purple Kush / Haze quality=B+ (Outdoor & Organic),,,,,,,25,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-12-11 22:18:09,"2.5g \""OG Diesel Kush\"" 21%THC *Amsterdam Weed*",,,,21,,,2.5,
d1f915e833a1f6e23993d945327d31cc,-1,-1,2018-09-12 3:13:17,1g | Blue Dream | Medical Grade Cannabis | Organic | Limited Supply!!,,,,,,,1,
771c94690487dfd48b735178d7e8077d,-1,-1,2018-03-06 17:15:08,100g SPECIAL PROMO CRITICAL 3.5 €/G =====FULL ESCROW=====,,,,,,,100,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-06 3:53:57,"OG Kush ,Lemon drop, Purple-urkle::Grade:A+",,,,,,,,
9f6a5994e64c157eb20d8046f5bea132,-1,-1,2017-12-05 11:41:04,2Gr Girl Scout Cookies Hash (Premium/Import/Creamy/Very Rare/Great),,,,,,,2,
72980d2e657ccbc89a6ca406dd97e205,-1,-1,2018-10-25 3:56:29,"Some strains in stock: Animal Cookies,Alien OG, Agent Orange 500",,,,,,,,
32dd6832e87276bd9132b0dbf783491c,-1,-1,2018-07-26 23:26:56,Lemon Haze AAA+++ 2g FREE UK NDD,,,,,,,2,
32dd6832e87276bd9132b0dbf783491c,-1,-1,2018-06-22 17:12:59,Lemon Haze AAA+++ 3.5g FREE UK NDD,,,,,,,3.5,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2017-12-26 13:22:12,"1g \""Gorilla Glue #4\"" Shatter/Wax ~90%THC *TIP*",,,,90,,,1,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2017-12-22 14:01:41,"2g \""Gorilla Glue #4\"" Shatter/Wax ~90%THC *TIP*",,,,90,,,2,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-01-16 14:44:28,"3g \""Gorilla Glue #4\"" Shatter/Wax ~90%THC *TIP*",,,,90,,,3,
